Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,ID
Tim Schaller,LW,53,5,1,-14,14,49,613,28,51,7,11,schalti01
Mark Scheifele,C,71,29,44,2,45,170,1548,49,34,605,685,scheima01
Brayden Schenn,C,71,25,33,3,44,138,1311,21,119,350,364,schenbr01
Luke Schenn,D,25,1,2,-8,23,31,311,21,83,0,0,schenlu01
Nick Schmaltz,C,70,11,34,3,20,95,1087,35,12,160,216,schmani01
Nate Schmidt,D,59,7,24,11,12,112,1279,91,25,0,0,schmina01
Justin Schultz,D,46,3,9,-13,6,86,914,50,36,0,0,schulju01
Jaden Schwartz,C,71,22,35,3,18,162,1291,28,60,9,11,schwaja01
Brent Seabrook,D,32,3,1,1,8,40,581,61,52,0,0,seabrbr01
Nick Seeler,D,12,0,1,-8,15,5,143,21,19,0,0,seeleni01
Tyler Seguin,C,69,17,33,-2,22,245,1321,31,90,538,387,seguity01
Andrej Sekera,D,57,2,6,9,14,63,1026,75,34,0,0,sekeran01
Brett Seney,LW,2,0,0,-1,0,1,20,0,2,0,2,seneybr01
Zachary Senyshyn,RW,4,0,2,1,0,1,34,1,2,1,0,senysza01
Mikhail Sergachev,D,70,10,24,15,58,118,1426,99,106,0,0,sergami01
Damon Severson,D,69,8,23,-20,52,114,1584,97,81,0,0,severda01
Michael Sgarbossa,C,2,0,0,0,0,1,16,0,3,3,3,sgarbmi01
Kevin Shattenkirk,D,70,8,26,22,38,131,1323,66,62,0,0,shattke01
Andrew Shaw,C,26,3,7,-4,33,46,376,9,74,42,51,shawan01
Logan Shaw,RW,35,3,2,0,0,20,239,13,24,11,9,shawlo01
Riley Sheahan,C,66,8,7,-13,6,70,844,33,26,409,425,sheahri01
Conor Sheary,LW,63,10,13,-5,10,102,826,26,28,1,3,shearco01
Kiefer Sherwood,RW,10,0,1,-1,6,17,133,4,24,3,1,sherwki01
Kole Sherwood,RW,3,0,0,0,2,6,20,1,10,0,1,sherwko01
Devin Shore,C,45,5,7,-10,8,50,524,14,52,47,53,shorede01
Nick Shore,C,63,3,3,1,20,45,578,20,55,211,170,shoreni01
Jonas Siegenthaler,D,64,2,7,11,43,49,1007,105,51,0,0,siegejo01
Dylan Sikura,C,9,1,2,1,0,10,89,2,0,0,3,sikurdy01
Jakob Silfverberg,LW,66,21,18,0,14,155,1167,41,28,8,33,silfvja01
Radim Simek,D,48,2,7,-13,14,40,825,60,91,0,0,simekra01
Wayne Simmonds,RW,68,8,17,-21,66,119,1015,29,145,29,45,simmowa01
Dominik Simon,C,64,7,15,-9,12,102,922,20,57,15,27,simondo01
Colton Sissons,C,57,9,6,-2,20,52,817,41,84,283,269,sissoco01
Jeff Skinner,LW,59,14,9,-22,18,183,973,11,29,32,54,skinnje01
Brady Skjei,D,67,8,16,-10,45,139,1386,96,103,0,0,skjeibr01
Jaccob Slavin,D,68,6,30,30,10,145,1592,107,43,0,0,slavija01
Brendan Smith,D,62,3,5,-12,71,45,688,41,90,1,0,smithbr05
Craig Smith,C,69,18,13,18,34,184,926,19,60,14,15,smithcr01
Dalton Smith,LW,1,0,0,1,2,0,1,0,0,0,0,smithda03
Gemel Smith,C,3,1,0,0,4,1,28,2,1,13,7,smithge02
Givani Smith,RW,21,2,1,-2,9,22,203,3,42,0,0,smithgi01
Reilly Smith,RW,71,27,27,17,20,169,1272,30,55,3,9,smithre01
Zack Smith,C,50,4,7,2,29,43,589,18,112,88,102,smithza01
Vladimir Sobotka,C,16,1,2,2,4,23,228,7,26,39,31,sobotvl01
Carl Soderberg,C,70,17,18,6,18,135,1113,41,77,245,296,soderca01
Marcus Sorensen,RW,66,7,11,-12,26,78,914,18,56,3,17,sorenma01
Carson Soucy,D,55,7,7,16,18,61,860,50,69,0,0,soucyca01
Jason Spezza,C,58,9,16,-3,18,73,628,19,13,215,183,spezzja01
Daniel Sprong,RW,8,1,1,-2,0,17,113,3,4,0,0,spronda01
Jared Spurgeon,D,62,12,20,-1,18,112,1400,102,61,0,1,spurgja01
Eric Staal,C,66,19,28,-9,28,113,1131,22,24,495,504,staaler01
Jordan Staal,C,68,8,19,3,40,125,1190,36,149,699,585,staaljo01
Marc Staal,D,52,2,9,5,16,46,917,76,69,0,0,staalma01
Steven Stamkos,C,57,29,37,14,22,176,1050,38,69,365,307,stamkst01
Paul Stastny,C,71,17,21,6,24,136,1216,32,63,624,515,stastpa01
Troy Stecher,D,69,5,12,10,32,86,1059,70,69,0,0,stechtr01
Sam Steel,C,65,6,16,-13,20,85,1011,25,24,369,365,steelsa01
Alex Steen,C,55,7,10,7,12,71,772,47,26,8,7,steenal01
Kevin Stenlund,C,32,6,4,2,8,57,447,22,19,52,77,stenlke01
Derek Stepan,C,70,10,18,-4,16,158,1235,54,43,569,628,stepade01
Mitchell Stephens,C,38,3,3,-9,10,43,410,9,36,187,169,stephmi01
Chandler Stephenson,C,65,11,15,24,16,73,931,32,52,233,281,stephch02
Chris Stewart,RW,16,0,1,-7,21,5,124,4,35,0,0,stewach02
Riley Stillman,D,34,0,5,-3,14,39,650,57,59,0,0,stillri01
Mark Stone,RW,65,21,42,15,27,168,1262,51,56,16,30,stonema01
Michael Stone,D,33,2,5,-5,16,57,539,54,52,0,0,stonemi01
Anton Stralman,D,69,5,14,-6,14,89,1454,96,68,0,0,stralan01
Ben Street,C,3,0,1,1,0,4,24,0,3,5,6,streebe01
Dylan Strome,C,58,12,26,1,16,97,925,29,23,277,304,stromdy01
Ryan Strome,C,70,18,41,21,48,154,1371,32,45,496,548,stromry01
Jack Studnicka,C,2,0,1,2,2,3,24,0,2,9,6,studnja01
Nico Sturm,C,6,0,2,2,0,2,71,5,6,26,23,sturmni01
P.K. Subban,D,68,7,11,-21,79,151,1504,90,88,0,0,subbapk01
C.J. Suess,LW,1,0,0,-1,0,0,6,0,1,1,3,frankcl01
Oskar Sundqvist,C,57,12,11,5,28,97,820,26,60,105,132,sundqos01
Antti Suomela,C,20,1,6,4,4,18,194,5,27,51,42,suomean01
Ryan Suter,D,69,8,40,-6,12,111,1700,93,48,0,0,suterry01
Brandon Sutter,C,44,8,9,1,25,76,653,15,18,185,193,suttebr03
Nick Suzuki,C,71,13,28,-15,6,138,1135,32,64,305,354,suzukni01
