Player,Pos,GP,G,A,+/-,PIM,S,TOI,BLK,HIT,FOW,FOL,id
Kyle Rau,C,5,0,0,-3,0,3,44,0,6,1,1,rauky01
Lucas Raymond,LW,82,23,34,-32,16,184,1489,24,62,12,19,raymolu01
Ryan Reaves,RW,69,5,8,-13,43,44,735,16,279,5,5,reavery01
Scott Reedy,C,35,7,2,-8,10,33,392,26,14,53,79,reedysc01
Alec Regula,D,15,1,0,-1,12,18,268,21,21,0,0,regulal01
Kristian Reichel,F,13,1,1,-2,7,18,135,10,14,1,0,reichkr01
Lukas Reichel,LW,11,0,1,-8,0,15,145,3,0,16,30,reichlu01
Mike Reilly,D,70,4,13,-1,32,135,1327,54,94,0,0,reillmi01
Cole Reinhardt,LW,1,0,0,0,2,1,9,0,2,0,0,reinhco01
Sam Reinhart,C,78,33,49,25,13,186,1385,30,49,174,185,reinhsa01
Sheldon Rempal,RW,1,0,0,-1,0,2,9,0,0,0,0,rempash01
Dan Renouf,D,4,0,0,-2,7,3,56,2,4,0,0,renouda01
Brad Richardson,C,44,4,4,-1,35,31,453,20,59,139,100,richabr02
Morgan Rielly,D,82,10,58,16,40,221,1947,87,92,0,0,riellmo01
Juuso Riikola,D,5,0,1,2,2,7,67,2,13,0,0,riikoju01
Rasmus Ristolainen,D,66,2,14,-9,38,97,1415,125,230,0,0,ristora01
Brett Ritchie,RW,41,3,1,-6,29,55,399,5,78,1,3,ritchbr01
Nick Ritchie,LW,57,12,11,-13,43,93,724,22,153,0,4,ritchni01
Jason Robertson,LW,74,41,38,16,22,220,1340,24,50,0,0,roberja01
Nicholas Robertson,LW,10,1,0,-4,4,14,103,2,10,0,0,roberni01
Buddy Robinson,RW,32,1,5,2,19,38,296,12,56,0,6,robinbu01
Eric Robinson,LW,67,10,17,-1,18,104,931,20,95,2,2,robiner01
Evan Rodrigues,C,82,19,24,3,14,243,1299,30,89,183,203,rodriev01
Alexander Romanov,D,79,3,10,-9,53,107,1611,144,227,0,0,romanal01
Kevin Rooney,C,61,6,6,-1,18,71,845,47,84,181,223,rooneke01
Calle Rosen,D,18,2,5,-2,4,18,258,16,6,0,0,rosenca01
Jack Roslovic,C,81,22,23,2,12,131,1157,25,60,372,483,rosloja01
Marco Rossi,C,2,0,0,-1,4,5,31,1,1,7,15,rossima01
Antoine Roussel,LW,53,4,4,-16,59,59,644,34,74,17,22,roussan01
Carter Rowney,RW,26,4,2,-4,0,15,277,20,36,74,91,rowneca01
Matt Roy,D,67,2,19,23,28,153,1406,103,124,0,0,royma04
Nicolas Roy,C,78,15,24,12,51,145,1268,34,85,454,477,royni01
Kristians Rubins,D,3,0,0,-2,4,5,35,2,12,0,0,rubinkr01
Chad Ruhwedel,D,78,4,9,2,14,82,1196,86,149,0,0,ruhwech01
Arttu Ruotsalainen,F,18,2,2,-1,6,23,214,6,14,51,69,ruotsar01
Kris Russell,D,31,2,7,7,4,34,479,68,33,0,0,russekr01
Bryan Rust,RW,60,24,34,7,14,180,1126,24,43,1,5,rustbr01
Jan Rutta,D,76,3,15,25,47,86,1245,71,93,0,0,ruttaja02
Adam Ruzicka,C,28,5,5,8,8,33,286,8,24,103,120,ruzicad01
Derek Ryan,C,75,10,12,-4,8,72,857,38,38,286,226,ryande01
Jonas Rondbjerg,RW,30,2,4,0,4,30,300,11,13,0,2,rondbjo01
Brandon Saad,LW,78,24,25,11,10,158,1269,20,20,8,11,saadbr01
Scott Sabourin,F,7,0,2,-2,11,4,53,4,14,1,0,sabousc01
Robin Salo,D,21,1,4,-6,4,24,351,23,7,0,0,saloro01
Dylan Samberg,D,15,0,5,3,4,14,223,19,21,0,0,sambedy01
Dmitri Samorukov,D,1,0,0,-2,0,0,2,0,0,0,0,samordm01
Mattias Samuelsson,D,42,0,10,-10,16,44,840,60,100,0,0,samuema02
Linus Sandin,F,1,0,0,0,0,1,7,2,0,0,0,sandili01
Rasmus Sandin,D,51,5,11,9,4,46,865,39,88,0,0,sandira01
Zach Sanford,LW,80,9,12,-15,50,104,1144,67,169,5,17,sanfoza01
Travis Sanheim,D,80,7,24,9,34,123,1838,142,64,0,0,sanhetr01
David Savard,D,62,3,14,-22,36,66,1289,127,134,0,0,savarda01
Marco Scandella,D,70,3,11,17,18,76,1270,70,106,0,0,scandma01
Colton Sceviour,C,35,2,3,-6,26,38,332,20,41,29,33,scevico01
Mark Scheifele,C,67,29,41,-17,23,159,1416,47,36,430,418,scheima01
Brayden Schenn,C,62,24,34,21,33,111,1103,17,119,284,295,schenbr01
Luke Schenn,D,66,5,12,15,61,78,1136,96,273,0,0,schenlu01
Nick Schmaltz,C,63,23,36,1,14,123,1150,28,15,114,125,schmani01
Nate Schmidt,D,77,4,28,-4,10,117,1556,104,37,0,0,schmina01
Braden Schneider,D,43,2,9,5,9,25,665,52,60,0,0,schnebr01
Corey Schueneman,D,24,2,4,-5,8,30,398,40,15,0,0,schueco01
Justin Schultz,D,74,4,19,-15,16,92,1252,87,40,0,0,schulju01
Jaden Schwartz,C,37,8,15,-13,14,101,683,13,42,17,18,schwaja01
Cole Schwindt,RW,3,0,0,-4,0,3,42,2,5,15,16,schwico01
Nick Seeler,D,43,1,2,-3,29,32,562,67,75,0,0,seeleni01
Tyler Seguin,C,81,24,25,-21,30,218,1443,33,96,464,364,seguity01
Moritz Seider,D,82,7,43,-9,34,187,1889,161,151,0,0,seidemo01
Andrej Sekera,D,32,1,3,-3,16,26,439,25,15,0,0,sekeran01
Kirill Semyonov,C,3,0,0,-2,0,1,30,0,4,1,1,semyoki01
Brett Seney,LW,2,0,0,0,0,1,14,2,3,0,5,seneybr01
Zachary Senyshyn,RW,2,0,0,-1,2,0,13,0,4,0,0,senysza01
Mikhail Sergachev,D,78,7,31,6,59,149,1753,123,139,0,0,sergami01
